audit_idx,audit_dir,date,surface,slug,title,concern,file,start_line,end_line
1,"2026-04-08-full-workspace","","untrusted-input-surface","serde-skip-value-depth-underflow","skip_value depth counter underflows on leading end-events","significant","crates/yamalgam-serde/src/de.rs",748,765
1,"2026-04-08-full-workspace","","untrusted-input-surface","serde-drain-depth-underflow","SeqAccess::drain and MapAccess::drain miss cross-type end-event guard","significant","crates/yamalgam-serde/src/de.rs",888,902
1,"2026-04-08-full-workspace","","untrusted-input-surface","serde-drain-depth-underflow","SeqAccess::drain and MapAccess::drain miss cross-type end-event guard","significant","crates/yamalgam-serde/src/de.rs",934,949
1,"2026-04-08-full-workspace","","untrusted-input-surface","cst-source-indexing-unclamped","CST insert_whitespace_before indexes source without clamping span offset","moderate","crates/yamalgam-cst/src/lib.rs",488,491
1,"2026-04-08-full-workspace","","untrusted-input-surface","column-as-i32-cast","Scanner casts u32 column to i32 without overflow check","advisory","crates/yamalgam-scanner/src/scanner.rs",1020,1020
1,"2026-04-08-full-workspace","","error-architecture-surface","scanner-error-stringly-typed","ScanError is a stringly-typed bag with no variants","significant","crates/yamalgam-scanner/src/scanner.rs",34,47
1,"2026-04-08-full-workspace","","error-architecture-surface","diagnostic-missing-display-error","Diagnostic lacks Display and std::error::Error impls","significant","crates/yamalgam-core/src/diagnostic.rs",49,62
1,"2026-04-08-full-workspace","","error-architecture-surface","diagnostic-missing-display-error","Diagnostic lacks Display and std::error::Error impls","significant","crates/yamalgam-scanner/src/input.rs",130,130
1,"2026-04-08-full-workspace","","error-architecture-surface","compose-error-stringly-typed","ComposeError variants carry only String, no structured data","moderate","crates/yamalgam-compose/src/lib.rs",19,30
1,"2026-04-08-full-workspace","","error-architecture-surface","serde-error-no-span","Serde Error::Unexpected passes None span at 15+ call sites","moderate","crates/yamalgam-serde/src/error.rs",17,38
1,"2026-04-08-full-workspace","","error-architecture-surface","cst-discards-parse-error","CST handle_error discards ParseError content","advisory","crates/yamalgam-cst/src/lib.rs",545,545
1,"2026-04-08-full-workspace","","panic-discipline-surface","parser-expect-peeked-pattern","Parser uses .expect(+peeked+) after peek_token — 40+ sites","moderate","crates/yamalgam-parser/src/parser.rs",292,292
1,"2026-04-08-full-workspace","","panic-discipline-surface","serde-replay-buffer-unwrap","Deserializer peek methods unwrap replay_buffer.front()","moderate","crates/yamalgam-serde/src/de.rs",268,301
1,"2026-04-08-full-workspace","","panic-discipline-surface","compose-peek-double-unwrap","Composer::peek_event double-unwraps via action-integer pattern","advisory","crates/yamalgam-compose/src/lib.rs",384,384
