audit_idx,audit_dir,heading,disposition,author,commits,addressed_slugs
2,"2026-08-03-18-m10-query-yg","2026-08-03 — Harden YAML emission and mutation metadata","fixed","Clay Loveless and Codex","1cf84ed8f45530e2e76a490b1bc8506c4011d3b6","flow-context-plain-scalar-injection;alias-metadata-survives-mutation-dropping-edits;emitter-quoting-ignores-active-schema;json-nonstring-keys-collide;plain-scalar-control-characters;stale-raw-metadata-after-string-splice"
2,"2026-08-03-18-m10-query-yg","2026-08-03 — Make in-place editing staged and conservative","fixed","Clay Loveless and Codex","1cf84ed8f45530e2e76a490b1bc8506c4011d3b6","in-place-empty-output-truncates-file;in-place-replaces-symlinks-and-drops-ownership;in-place-multi-file-partial-application;slurp-silently-per-file-under-in-place;in-place-with-from-file-rejected-by-clap"
2,"2026-08-03-18-m10-query-yg","2026-08-03 — Enforce resource limits through evaluation and emission","fixed","Clay Loveless and Codex","1cf84ed8f45530e2e76a490b1bc8506c4011d3b6","yaml-bomb-materialized-by-emitters;filter-constructed-values-recurse-without-depth-bound;map-index-allocates-directly-from-untrusted-index;fromjson-ignores-configured-limits"
2,"2026-08-03-18-m10-query-yg","2026-08-03 — Stabilize query process behavior","fixed","Clay Loveless and Codex","1cf84ed8f45530e2e76a490b1bc8506c4011d3b6","null-input-still-blocks-on-stdin;stdout-epipe-becomes-runtime-error;halt-prints-a-spurious-error-line;runtime-errors-drop-document-and-file-identity"
2,"2026-08-03-18-m10-query-yg","2026-08-03 — Correct query-path exit classifications","mitigated","Clay Loveless and Codex","1cf84ed8f45530e2e76a490b1bc8506c4011d3b6","exit-code-mapping-diverges-from-spec"
2,"2026-08-03-18-m10-query-yg","2026-08-03 — Complete process exit classification","fixed","Clay Loveless and Codex","a3a473909b28f3d5aa5cc2f473cf1866a7e12795","exit-code-mapping-diverges-from-spec"
2,"2026-08-03-18-m10-query-yg","2026-08-03 — Add data-safe filter parameters and sandbox policy","fixed","Clay Loveless and Codex","a3a473909b28f3d5aa5cc2f473cf1866a7e12795","no-argument-binding-forces-filter-concatenation;env-filter-registered-unconditionally"
2,"2026-08-03-18-m10-query-yg","2026-08-03 — Stabilize the public value and evaluation contracts","fixed","Clay Loveless and Codex","a3a473909b28f3d5aa5cc2f473cf1866a7e12795","no-public-read-access-to-yamlval;input-meta-refcell-races-with-input-lookahead;integer-only-indexing-diverges-from-equal-float-values;run-filter-signature-overconstrains-callers"
2,"2026-08-03-18-m10-query-yg","2026-08-03 — Retain the single-threaded value representation","accepted","Clay Loveless and Codex","a3a473909b28f3d5aa5cc2f473cf1866a7e12795","rc-makes-value-model-non-send"
2,"2026-08-03-18-m10-query-yg","2026-08-03 — Remove emitter allocation hot spots","fixed","Clay Loveless and Codex","a3a473909b28f3d5aa5cc2f473cf1866a7e12795","yaml-inline-emitter-string-per-node;needs-quotes-copies-every-scalar-it-inspects;emitter-anchor-table-is-a-linear-scanned-vec"
