audit_idx,audit_dir,date,scope,commit,findings,critical,significant,moderate,advisory,note,ledger,fixed,mitigated,accepted,disputed,deferred,open
1,"2026-04-08-full-workspace","2026-04-08","Full workspace — all 9 Rust crates plus xtask","61160528c570bd5845d15703e3f502136ea48e7d",27,0,8,13,6,0,false,,,,,,
2,"2026-08-03-18-m10-query-yg","2026-08-03","M10 surface — the yamalgam-query crate and the yg binary, as introduced across main...m10-yg-cli (21 commits, ~5k lines of new src, ~1.3k lines of tests)","27cf03716d12a1170691b4bcb1108f0a3d25c257",36,4,5,22,4,1,true,34,1,1,0,0,0
3,"2026-08-03-21-m10-fresh","2026-08-03","M10 milestone surface — 24 commits on branch m10-yg-cli vs main (merge-base 6e3a646): the new yamalgam-query crate, the yg CLI, and M10's yamalgam-core tag-resolution additions","b96a66abf1495c84d2c23ced276678bd25527167",47,0,3,18,17,9,true,42,3,1,0,1,0
4,"2026-08-04-16-m10-post-remediation","2026-08-04","Full Repository Post-Remediation","a1123b4998722ad943980ef7525a26cc07a2b9ff",27,0,8,4,7,8,true,27,0,0,0,0,0
5,"2026-08-08-15-m10-fresh","2026-08-08","Full repository static audit — all workspace crates, xtask, fuzz package, dependencies, configuration, and current documentation","f72e662bb2e5e83bfd4d3c4c4ce58d805e851c90",5,0,0,4,1,0,true,5,0,0,0,0,0
6,"2026-08-09-13-m11-final-review","2026-08-09","M11 external-resolution changes from c85f7e0 through 56b8b3e","56b8b3ec9358dd3cac11a6cd22748d94c981ae59",20,0,10,9,1,0,true,20,0,0,0,0,0
7,"2026-08-09-1537-m11-post-remediation","2026-08-09","M11 external-resolution changes from c85f7e0 through 246f707","246f707890c9bc42bd41b5af128905be104bf354",11,0,6,5,0,0,true,11,0,0,0,0,0
8,"2026-08-11-07-m12-full-repo","2026-08-11","Full Yamalgam workspace at the M12 schema-validation and language-server release boundary","7afeea1e98dd987fb8d014e46cc29cc57b2faca5",20,0,8,10,2,0,true,19,0,0,0,1,0
9,"2026-08-12-10-m13-release-candidate","2026-08-12","Full M13 release-candidate audit at 5da2392, covering all Cased surfaces and all applicable Crustoleum Rust surfaces","5da2392ec6659ac0a6156e34ad86155c958d9de2",14,1,4,7,2,0,true,9,0,0,0,5,0
10,"2026-08-12-15-m13-post-remediation","2026-08-12","Fresh full-repository M13 post-remediation audit at c364d06, covering every Cased surface and all applicable Crustoleum Rust surfaces","c364d06c53ad27667582734bfd2acf81ba6b0636",10,0,1,6,3,0,true,4,0,0,0,6,0
11,"2026-08-12-17-m13-final-verification","2026-08-12","Final full-repository M13 verification audit at 83e70c2 after both prior remediation waves","83e70c28aa18ec3dc822487a584bfd70c12cbcbd",9,0,1,5,3,0,true,3,0,0,0,6,0
12,"2026-08-12-20-m13-release-closure","2026-08-12","Full M13 release-closure audit at 0a581f6 after three remediation waves","0a581f618c2ba851ce9744f38f094660b452b917",7,0,0,3,4,0,true,1,0,0,0,6,0
13,"2026-08-14-m14-release-closure","2026-08-15","Full M14 release-closure audit at 1269483c1fe48d9afa91307ffdbc5708b50a936e","1269483c1fe48d9afa91307ffdbc5708b50a936e",3,0,0,1,2,0,true,3,0,0,0,0,0
